id_mature	miRBase_mature_miRNA_ID	id_hairpin	miRBase_precursor_miRNA_ID	Type	norm_mean_MDCK	norm_mean_MDCK-Ras	Fold_Change	Log2_Fold_Change	p_value	p_adjusted_value	more	sig	bin	class
cfa-let-7a	MIMAT0006594	cfa-let-7a-1	MI0007989	Canis	108436.7615	144187.0525	1.329687926	0.411087689	0.386004426	0.531501265	1	0	10	1
cfa-let-7a	MIMAT0006594	cfa-let-7a-2	MI0010328	Canis	108768.534	144483.1315	1.328354132	0.409639812	0.387654592	0.531501265	1	0	10	1
cfa-let-7c	MIMAT0006669	cfa-let-7c	MI0008076	Canis	367.4548682	491.7430397	1.338240645	0.420337567	0.612756901	0.729950843	1	0	10	1
cfa-let-7e	MIMAT0006608	cfa-let-7e	MI0008004	Canis	8311.052363	28849.52468	3.47122403	1.795444479	0.002696455	0.007168625	1	1	11	3
cfa-let-7f	MIMAT0006610	cfa-let-7f	MI0008006	Canis	254701.3584	277863.2407	1.090937412	0.125568335	0.854215171	0.899608248	1	0	10	1
cfa-let-7g	MIMAT0006637	cfa-let-7g	MI0008036	Canis	20776.32524	20780.28185	1.000190438	0.000274718	0.909132112	0.920975613	1	0	10	1
cfa-miR-101	MIMAT0006600	cfa-mir-101-1	MI0008107	Canis	19988.55745	16001.76267	0.800546148	-0.320943525	0.644067124	0.758954773	0	0	00	0
cfa-miR-101	MIMAT0006600	cfa-mir-101-2	MI0007995	Canis	19988.55745	16001.76267	0.800546148	-0.320943525	0.644067124	0.758954773	0	0	00	0
cfa-miR-106a	MIMAT0006749	cfa-mir-106a	MI0008173	Canis	2536.831156	3676.571909	1.44927734	0.535333702	0.912526296	0.920975613	1	0	10	1
cfa-miR-106a	MIMAT0006749	cfa-mir-17	MI0008050	Canis	36980.00286	29051.12962	0.785590248	-0.348151074	0.587893356	0.723753549	0	0	00	0
cfa-miR-106b	MIMAT0006695	cfa-mir-106b	MI0008109	Canis	9767.208136	6927.750877	0.709286705	-0.495559189	0.36122944	0.508051728	0	0	00	0
cfa-miR-107	MIMAT0006666	cfa-mir-103-1	MI0008098	Canis	89209.98402	356296.7167	3.993910779	1.997802104	0.000226141	0.000849978	1	1	11	3
cfa-miR-107	MIMAT0006666	cfa-mir-103-2	MI0010357	Canis	90109.93864	359908.1108	3.994100054	1.997870473	0.000236701	0.00087459	1	1	11	3
cfa-miR-107	MIMAT0006666	cfa-mir-107	MI0008072	Canis	3160.436643	13771.02734	4.35731796	2.123440393	0.00000152	0.00000787	1	1	11	3
cfa-miR-10a	MIMAT0006737	cfa-mir-10a	MI0008161	Canis	1679.666788	296.8455378	0.176728825	-2.500390728	3.24E-09	2.35E-08	0	1	01	2
cfa-miR-10b	MIMAT0009837	cfa-mir-10b	MI0010331	Canis	37909.24901	28904.22085	0.762458282	-0.391269693	0.220286476	0.35004178	0	0	00	0
cfa-miR-125a	MIMAT0006609	cfa-mir-125a	MI0008005	Canis	507.0438839	1370.604743	2.70312844	1.434630064	0.003582624	0.009297761	1	1	11	3
cfa-miR-125b	MIMAT0006670	cfa-mir-125b-1	MI0008103	Canis	12579.66367	9430.796335	0.749685888	-0.415641849	0.295818228	0.433418535	0	0	00	0
cfa-miR-125b	MIMAT0006670	cfa-mir-125b-2	MI0008077	Canis	12566.60501	9421.860813	0.749753876	-0.41551102	0.296235604	0.433418535	0	0	00	0
